year,product,customer_type,price_with_vat,price_no_vat
2018,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA A.D.N. / PRUEBAS DE PATERNIDAD (por perro) / SALIVA,User,47.2,39.01
2018,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA A.D.N. / PRUEBAS DE PATERNIDAD (por perro) / SANGRE,Member,38.1,31.49
2018,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA A.D.N. / PRUEBAS DE PATERNIDAD (por perro) / SANGRE,User,38.1,31.49
2022,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro),Member,34.7,28.68
2022,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro),User,42.0,34.71
2020,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro) / SALIVA,Member,49.3,40.74
2021,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro) / SALIVA,Member,49.3,40.74
2020,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro) / SALIVA,User,49.3,40.74
2021,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro) / SALIVA,User,65.75,54.34
2020,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro) / SANGRE,Member,39.8,32.89
2021,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro) / SANGRE,Member,39.8,32.89
2020,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro) / SANGRE,User,39.8,32.89
2021,ANALÍTICA IDENTIFICACIÓN GENÉTICA CANINA ADN / PRUEBAS DE PATERNIDAD (por perro) / SANGRE,User,53.1,43.88
2025,ANOTACIÓN DE TÍTULOS,Member,6.5,5.37
2026,ANOTACIÓN DE TÍTULOS,Member,6.5,5.37
2025,ANOTACIÓN DE TÍTULOS,User,8.7,7.19
2026,ANOTACIÓN DE TÍTULOS,User,8.7,7.19
2023,ANOTACIÓN EN BASE DE DATOS DE PRUEBA ADN SIN ACOGERSE AL CONVENIO RSCE – HISPALAB (por perro),Member,25.0,20.66
2024,ANOTACIÓN EN BASE DE DATOS DE PRUEBA ADN SIN ACOGERSE AL CONVENIO RSCE – HISPALAB (por perro),Member,25.8,21.32
2023,ANOTACIÓN EN BASE DE DATOS DE PRUEBA ADN SIN ACOGERSE AL CONVENIO RSCE – HISPALAB (por perro),User,25.0,20.66
2024,ANOTACIÓN EN BASE DE DATOS DE PRUEBA ADN SIN ACOGERSE AL CONVENIO RSCE – HISPALAB (por perro),User,25.8,21.32
2023,ANOTACIÓN EN BASE DE DATOS DE PRUEBA GENÉTICA O DE DISPLASIA (por prueba),Member,6.3,5.21
2024,ANOTACIÓN EN BASE DE DATOS DE PRUEBA GENÉTICA O DE DISPLASIA (por prueba),Member,6.5,5.37
2023,ANOTACIÓN EN BASE DE DATOS DE PRUEBA GENÉTICA O DE DISPLASIA (por prueba),User,8.4,6.94
2024,ANOTACIÓN EN BASE DE DATOS DE PRUEBA GENÉTICA O DE DISPLASIA (por prueba),User,8.7,7.19
2025,ANOTACIÓN EN BASE DE DATOS PRUEBA ADN,Member,25.8,21.32
2026,ANOTACIÓN EN BASE DE DATOS PRUEBA ADN,Member,35.0,28.93
2025,ANOTACIÓN EN BASE DE DATOS PRUEBA ADN,User,25.8,21.32
2026,ANOTACIÓN EN BASE DE DATOS PRUEBA ADN,User,,
2025,ANOTACIÓN PRUEBA DE DISPLASIA,Member,6.8,5.62
2026,ANOTACIÓN PRUEBA DE DISPLASIA,Member,10.0,8.26
2025,ANOTACIÓN PRUEBA DE DISPLASIA,User,9.1,7.52
2026,ANOTACIÓN PRUEBA DE DISPLASIA,User,14.0,11.57
2019,BAJA DE UN PERRO EN EL L.O.E. / R.R.C. (para su posterior inscripción en otros libros genealógicos),Member,26.4,21.82
2019,BAJA DE UN PERRO EN EL L.O.E. / R.R.C. (para su posterior inscripción en otros libros genealógicos),User,38.9,32.15
2018,BAJA DE UN PERRO EN EL L.O.E./R.R.C.,Canine_Collaborator,22.05,18.22
2019,BAJA DE UN PERRO EN EL L.O.E./R.R.C.,Canine_Collaborator,22.57,18.65
2020,BAJA DE UN PERRO EN EL L.O.E./R.R.C.,Canine_Collaborator,23.03,19.03
2022,BAJA DE UN PERRO EN EL L.O.E./R.R.C.,Canine_Collaborator,24.19,19.99
2023,BAJA DE UN PERRO EN EL L.O.E./R.R.C.,Canine_Collaborator,24.19,19.99
2024,BAJA DE UN PERRO EN EL L.O.E./R.R.C.,Canine_Collaborator,24.94,20.61
